ファイル対象年月,交通種別,交通機関名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2025-02,航空機,出雲縁結び ～ 静岡,2654.0,,,5265.0,899.0,585.7
2025-02,航空機,出雲縁結び ～ 名古屋中部,2571.0,,,5075.0,,
2025-02,航空機,萩・石見 ～ 羽田,8646.0,8884.0,97.3,18299.0,17532.0,104.4
2025-02,フェリー,本土 ～ 隠岐,12980.0,14972.0,86.7,28013.0,29574.0,94.7
2025-02,高速船,本土 ～ 隠岐,,,0.0,,,0.0
2025-03,,出雲縁結び ～ 羽田,59128.0,55287.0,106.9,153431.0,138176.0,111.0
2025-03,,出雲縁結び ～ 大阪,16753.0,15879.0,105.5,42969.0,43423.0,99.0
2025-03,,出雲縁結び ～ 福岡,4467.0,4972.0,89.8,12017.0,13327.0,90.2
2025-03,,出雲縁結び ～ 名古屋,8231.0,7287.0,113.0,20694.0,19611.0,105.5
2025-03,航空機,出雲縁結び ～ 静岡,3722.0,80.0,4652.5,8987.0,979.0,918.0
2025-03,航空機,出雲縁結び ～ 名古屋中部,3635.0,134.0,2712.7,8710.0,134.0,6500.0
2025-03,航空機,萩・石見 ～ 羽田,12242.0,11204.0,109.3,30541.0,28736.0,106.3
2025-03,フェリー,本土 ～ 隠岐,18343.0,17306.0,106.0,46356.0,46880.0,98.9
2025-03,高速船,本土 ～ 隠岐,6631.0,6008.0,110.4,6631.0,6008.0,110.4
2025-04,,出雲縁結び ～ 羽田,49356.0,47461.0,104.0,202787.0,185637.0,109.2
2025-04,,出雲縁結び ～ 大阪,13619.0,13547.0,100.5,56588.0,56970.0,99.3
2025-04,,出雲縁結び ～ 福岡,3972.0,3909.0,101.6,15989.0,17236.0,92.8
2025-04,,出雲縁結び ～ 名古屋,6940.0,6257.0,110.9,27634.0,25868.0,106.8
2025-04,航空機,出雲縁結び ～ 静岡,2697.0,1966.0,137.2,11684.0,2945.0,396.7
2025-04,航空機,出雲縁結び ～ 名古屋中部,2789.0,2752.0,101.3,11499.0,2886.0,398.4
2025-04,航空機,萩・石見 ～ 羽田,9602.0,8994.0,106.8,40143.0,37730.0,106.4
2025-04,フェリー,本土 ～ 隠岐,17009.0,17818.0,95.5,63365.0,64698.0,97.9
2025-04,高速船,本土 ～ 隠岐,7025.0,6215.0,113.0,13656.0,12223.0,111.7
2025-05,,出雲縁結び ～ 羽田,58472.0,53633.0,109.0,261259.0,239270.0,109.2
2025-05,,出雲縁結び ～ 大阪,15729.0,14000.0,112.4,72317.0,70970.0,101.9
